#Exported for mctoolsr																																																
ESV_ID	Undetermined_S0_L001_R1_001_Din01	Undetermined_S0_L001_R1_001_Din02	Undetermined_S0_L001_R1_001_Din03	Undetermined_S0_L001_R1_001_Din04	Undetermined_S0_L001_R1_001_Din05	Undetermined_S0_L001_R1_001_Din06	Undetermined_S0_L001_R1_001_Din07	Undetermined_S0_L001_R1_001_Din08	Undetermined_S0_L001_R1_001_Din09	Undetermined_S0_L001_R1_001_Din10	Undetermined_S0_L001_R1_001_Din11	Undetermined_S0_L001_R1_001_Din12	Undetermined_S0_L001_R1_001_Din13	Undetermined_S0_L001_R1_001_Din14	Undetermined_S0_L001_R1_001_Din15	Undetermined_S0_L001_R1_001_Din16	Undetermined_S0_L001_R1_001_Din17	Undetermined_S0_L001_R1_001_Din18	Undetermined_S0_L001_R1_001_Din19	Undetermined_S0_L001_R1_001_Din20	Undetermined_S0_L001_R1_001_Din21	Undetermined_S0_L001_R1_001_Din22	Undetermined_S0_L001_R1_001_Din23	Undetermined_S0_L001_R1_001_Din24	Undetermined_S0_L001_R1_001_Din25	Undetermined_S0_L001_R1_001_Din26	Undetermined_S0_L001_R1_001_Din27	Undetermined_S0_L001_R1_001_Din28	Undetermined_S0_L001_R1_001_Din29	Undetermined_S0_L001_R1_001_Din30	Undetermined_S0_L001_R1_001_DinB1	Undetermined_S0_L001_R1_001_DinB2	Undetermined_S0_L001_R1_001_NTC1a	Undetermined_S0_L001_R1_001_NTC1b	Undetermined_S0_L001_R1_001_NTC1c	Undetermined_S0_L001_R1_001_NTC2a	Undetermined_S0_L001_R1_001_NTC2b	Undetermined_S0_L001_R1_001_NTC2c	Undetermined_S0_L001_R1_001_NTC2d	Undetermined_S0_L001_R1_001_NTC2e	Undetermined_S0_L001_R1_001_NTC2f	Undetermined_S0_L001_R1_001_NTC2g	Undetermined_S0_L001_R1_001_NTC2h	Undetermined_S0_L001_R1_001_NTC3a	Undetermined_S0_L001_R1_001_NTC3b	Undetermined_S0_L001_R1_001_NTC3c	Undetermined_S0_L001_R1_001_NTC3d	taxonomy
ESV_110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	0	0	0	0	Eukaryota;NA;NA;NA;NA;NA;NA;NA;ESV_110
ESV_111	0	0	35	0	0	0	0	0	56	46	0	0	30	0	0	83	33	0	24	33	0	36	0	0	0	31	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA;NA;ESV_111
ESV_112	0	7	19	6	4	0	70	15	19	72	29	19	7	8	15	14	17	59	10	8	5	0	0	17	0	9	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Ulotrichales;Pseudendocloniopsis;Pseudendocloniopsis_botryoides;AJ416103.1.1747;ESV_112
ESV_113	97	33	70	0	0	24	57	92	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Alveolata;Ciliophora;NA;NA;NA;NA;ESV_113
ESV_114	14	0	11	27	16	10	14	0	9	11	17	19	13	20	21	23	21	11	7	14	11	20	9	13	17	9	0	26	16	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA;NA;ESV_114
ESV_115	104	19	75	37	49	17	15	25	57	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;uncultured_ciliate;AB725345.1.1771;ESV_115
ESV_116	18	0	18	8	6	13	103	61	53	19	17	9	5	0	0	0	7	10	0	0	0	45	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlamydomonadales;NA;NA;NA;ESV_116
ESV_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);NA;NA;NA;NA;ESV_117
ESV_118	20	5	29	28	17	20	11	6	5	8	16	9	9	0	7	31	11	21	16	10	14	0	11	13	24	9	31	16	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA;NA;ESV_118
ESV_119	0	0	0	0	3	0	0	0	0	0	0	11	0	0	5	4	4	6	0	0	0	350	5	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales_Group_I;uncultured_dinoflagellate;GU820117.1.1209;ESV_119
ESV_12	185	59	118	229	170	185	25	12	119	358	290	359	321	187	486	899	541	414	491	553	612	776	550	727	1044	376	1150	655	272	979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Gromochytriaceae;uncultured;uncultured_Chytridiomycota;GQ995413.1.1770;ESV_12
ESV_120	40	34	91	61	16	30	13	0	20	18	0	0	0	0	0	0	13	0	0	0	0	21	0	9	0	9	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA;NA;ESV_120
ESV_121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	0	0	0	0	Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);NA;NA;NA;NA;ESV_121
ESV_122	120	39	79	29	8	19	26	36	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Rhizaria;Cercozoa;NA;NA;NA;NA;ESV_122
ESV_123	13	8	0	13	13	8	0	18	0	14	20	0	19	23	23	28	17	16	0	21	19	0	11	17	0	17	0	19	13	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Rhizophydiales;NA;NA;NA;ESV_123
ESV_124	0	0	0	0	0	0	0	29	0	33	28	32	27	0	30	49	17	34	0	0	0	0	0	0	0	0	0	28	20	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA;NA;ESV_124
ESV_125	29	25	38	15	15	0	61	136	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;uncultured;NA;NA;ESV_125
ESV_126	0	66	25	0	0	0	0	32	0	25	22	0	26	44	18	0	33	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Rhizaria;Cercozoa;Thecofilosea;uncultured;NA;NA;ESV_126
ESV_127	7	7	2	3	8	3	3	0	17	7	29	24	15	16	12	10	19	27	5	18	19	0	9	10	10	8	7	7	27	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;NA;NA;NA;NA;NA;NA;NA;ESV_127
ESV_128	22	0	17	20	0	11	0	12	14	0	0	0	9	0	0	42	14	0	0	0	20	16	0	26	21	0	20	23	17	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Rhizophydiales;Rhizophydiaceae;uncultured_Chytridiomycota;GQ995427.1.1772;ESV_128
ESV_129	48	25	12	22	18	8	43	75	20	7	0	8	4	10	0	0	0	6	0	5	7	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Rhizophydiales;uncultured;uncultured_Chytridiomycota;AF372721.1.1673;ESV_129
ESV_13	476	339	831	528	392	443	298	29	368	354	501	478	315	325	435	625	446	593	396	442	325	413	288	447	360	407	284	768	233	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Sporidiobolaceae;Rhodotorula;NA;NA;ESV_13
ESV_130	10	9	19	13	0	0	0	0	0	0	0	9	18	0	16	16	9	18	15	14	6	31	11	19	8	11	18	23	13	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Stramenopiles;Ochrophyta;NA;NA;NA;NA;ESV_130
ESV_131	0	0	0	0	0	0	0	0	0	118	41	0	22	32	0	0	74	0	0	0	15	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA;NA;ESV_131
ESV_132	10	33	0	0	7	0	7	10	50	0	9	11	13	11	38	0	15	10	0	0	13	0	15	0	0	0	0	23	13	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA;NA;ESV_132
ESV_133	0	0	18	0	0	15	0	0	22	38	0	0	0	0	0	33	18	13	16	0	16	32	23	0	0	0	15	35	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA;NA;ESV_133
ESV_134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	Eukaryota;NA;NA;NA;NA;NA;NA;NA;ESV_134
ESV_135	11	0	0	3	11	3	0	0	0	91	0	20	13	0	14	23	21	0	0	0	9	0	15	0	5	0	3	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Bdelloidea;Adinetida;Bdelloidea_environmental_sample;NA;ESV_135
ESV_136	5	0	4	0	4	5	4	2	8	18	20	12	60	12	8	6	11	7	11	17	25	0	16	8	0	0	6	20	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;NA;NA;NA;NA;NA;NA;ESV_136
ESV_137	13	20	8	9	0	0	23	15	0	0	17	14	0	14	22	0	15	0	19	17	15	0	0	10	0	10	7	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita;NA;NA;ESV_137
ESV_138	0	12	26	16	13	0	22	0	0	11	16	16	4	5	7	15	6	25	8	8	7	0	7	0	4	0	7	11	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Alveolata;Ciliophora;NA;NA;NA;NA;ESV_138
ESV_139	34	83	24	0	0	0	29	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Rhizaria;Cercozoa;Thecofilosea;uncultured;NA;NA;ESV_139
ESV_14	756	361	976	843	1376	989	408	410	302	458	43	100	329	147	181	947	195	156	208	504	534	272	479	221	258	104	301	324	226	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;NA;NA;NA;NA;NA;NA;ESV_14
ESV_140	24	0	53	16	13	27	0	0	15	25	0	0	4	0	0	0	0	0	0	0	18	7	0	0	25	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Spermatophyta;Pinophyta;Pinus_wallichiana;X75080.34.1799;ESV_140
ESV_141	12	0	17	0	0	0	22	6	23	7	10	8	8	9	13	0	10	0	0	14	6	22	0	0	9	4	0	16	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Asterales;NA;NA;NA;ESV_141
ESV_142	0	0	0	0	0	0	0	0	0	0	62	78	0	34	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Stramenopiles;Ochrophyta;Xanthophyceae;Mischococcales;Botrydiopsis_constricta;AJ579339.1.1739;ESV_142
ESV_143	0	0	0	0	0	0	0	0	0	42	0	0	0	0	24	27	0	0	0	0	0	17	0	26	0	0	0	47	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;NA;NA;NA;NA;NA;NA;NA;ESV_143
